Round,TeamA,TeamB,GoalsA,GoalsB,Year
1,MacHa,MemAs,3,1,2008
1,MacTA,BneTA,2,1,2008
1,BneSa,BeiYe,0,0,2008
1,MacPT,MacNa,1,1,2008
1,HacRG,HapTA,2,2,2008
1,HapKS,HapPT,0,0,2008
2,BneTA,HacRG,2,2,2008
2,HapTA,MacHa,0,0,2008
2,MemAs,HapKS,2,0,2008
2,MacNa,HapPT,3,1,2008
2,MacPT,BneSa,1,0,2008
2,BeiYe,MacTA,0,0,2008
3,BneSa,MacNa,0,1,2008
3,HacRG,BeiYe,2,4,2008
3,HapPT,MemAs,2,1,2008
3,MacTA,MacPT,0,0,2008
3,MacHa,BneTA,1,0,2008
3,HapKS,HapTA,0,0,2008
4,BneTA,HapKS,0,1,2008
4,BneSa,MacTA,2,3,2008
4,HapTA,HapPT,3,2,2008
4,MacNa,MemAs,2,1,2008
4,MacPT,HacRG,1,0,2008
4,BeiYe,MacHa,1,1,2008
5,HacRG,BneSa,0,0,2008
5,HapPT,BneTA,1,0,2008
5,MacHa,MacPT,3,1,2008
5,HapKS,BeiYe,1,0,2008
5,MacTA,MacNa,0,1,2008
5,MemAs,HapTA,1,0,2008
6,BneTA,MemAs,1,0,2008
6,BneSa,MacHa,0,1,2008
6,MacNa,HapTA,0,0,2008
6,MacPT,HapKS,2,1,2008
6,MacTA,HacRG,0,0,2008
6,BeiYe,HapPT,2,2,2008
7,HacRG,MacNa,1,2,2008
7,HapPT,MacPT,0,1,2008
7,HapTA,BneTA,2,0,2008
7,MemAs,BeiYe,1,2,2008
7,HapKS,BneSa,1,2,2008
7,MacHa,MacTA,3,2,2008
8,BneSa,HapPT,0,3,2008
8,HacRG,MacHa,0,3,2008
8,MacNa,BneTA,2,2,2008
8,MacPT,MemAs,2,3,2008
8,MacTA,HapKS,0,1,2008
8,BeiYe,HapTA,0,2,2008
9,BneTA,BeiYe,0,3,2008
9,HapPT,MacTA,0,1,2008
9,HapTA,MacPT,1,1,2008
9,MemAs,BneSa,4,2,2008
9,HapKS,HacRG,0,2,2008
9,MacHa,MacNa,2,3,2008
10,BneSa,HapTA,1,0,2008
10,HacRG,HapPT,0,1,2008
10,MacHa,HapKS,1,1,2008
10,MacPT,BneTA,0,0,2008
10,MacTA,MemAs,2,2,2008
10,MacNa,BeiYe,1,2,2008
11,BeiYe,MacPT,1,1,2008
11,BneTA,BneSa,2,0,2008
11,HapPT,MacHa,1,4,2008
11,MemAs,HacRG,3,2,2008
