SeasonRank,TeamName,Games,MisGames,WinsPG,TiesPG,LosesPG,GoalsPG,OpGoalsPG,GoalDifPG,PointsPG,Year
1,HapTA,35,0,0.7142857142857143,0.2571428571428571,0.02857142857142857,0.7428571428571429,2.4857142857142858,1.7428571428571429,1.4,2009
2,MacHa,35,0,0.8,0.08571428571428572,0.11428571428571428,0.45714285714285713,2.057142857142857,1.6,1.4,2009
3,MacTA,35,0,0.4857142857142857,0.2571428571428571,0.2571428571428571,1.0,1.4857142857142858,0.4857142857142857,0.9714285714285714,2009
4,BneTA,35,0,0.4,0.3142857142857143,0.2857142857142857,0.9714285714285714,1.2285714285714286,0.2571428571428571,0.8857142857142857,2009
5,BeiYe,35,0,0.4,0.2,0.4,1.2571428571428571,1.4285714285714286,0.17142857142857143,0.7428571428571429,2009
6,MemAs,35,0,0.3142857142857143,0.2857142857142857,0.4,1.2857142857142858,1.0285714285714285,-0.2571428571428571,0.6285714285714286,2009
7,BneSa,33,0,0.3939393939393939,0.24242424242424243,0.36363636363636365,0.9393939393939394,0.9393939393939394,0.0,0.8181818181818182,2009
8,MaPT,33,0,0.30303030303030304,0.3333333333333333,0.36363636363636365,1.4242424242424243,1.3333333333333333,-0.09090909090909091,0.7272727272727273,2009
9,HapBS,33,0,0.3333333333333333,0.30303030303030304,0.36363636363636365,1.6666666666666667,1.4848484848484849,-0.18181818181818182,0.696969696969697,2009
10,MacNa,33,0,0.30303030303030304,0.2727272727272727,0.42424242424242425,1.4242424242424243,1.3333333333333333,-0.09090909090909091,0.6363636363636364,2009
11,HapHa,35,0,0.2857142857142857,0.2571428571428571,0.45714285714285713,1.4285714285714286,1.2571428571428571,-0.17142857142857143,0.6571428571428571,2009
12,HapAc,35,0,0.2,0.4,0.4,1.4857142857142858,1.0857142857142856,-0.4,0.6571428571428571,2009
13,HapPT,35,0,0.22857142857142856,0.4,0.37142857142857144,1.3714285714285714,0.8,-0.5714285714285714,0.6571428571428571,2009
14,HapRG,35,0,0.2571428571428571,0.3142857142857143,0.42857142857142855,1.4,0.9714285714285714,-0.42857142857142855,0.6285714285714286,2009
15,HapRa,35,0,0.17142857142857143,0.2857142857142857,0.5428571428571428,1.6571428571428573,0.9428571428571428,-0.7142857142857143,0.5142857142857142,2009
16,MacNa,35,0,0.2,0.2,0.6,2.3142857142857145,0.9428571428571428,-1.3714285714285714,0.45714285714285713,2009
1,MacHa,35,0,0.6857142857142857,0.22857142857142856,0.08571428571428572,0.8,1.8,1.0,1.2857142857142858,2010
2,HapTA,35,0,0.6,0.2,0.2,1.0285714285714285,2.057142857142857,1.0285714285714285,1.0857142857142856,2010
3,MacTA,35,0,0.5142857142857142,0.17142857142857143,0.3142857142857143,1.1428571428571428,1.5142857142857142,0.37142857142857144,1.0,2010
4,BneTA,35,0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.9714285714285714,1.2,0.22857142857142856,0.8857142857142857,2010
5,HapKS,35,0,0.4,0.2857142857142857,0.3142857142857143,1.2857142857142858,1.6285714285714286,0.34285714285714286,0.8,2010
6,MacNa,35,0,0.34285714285714286,0.37142857142857144,0.2857142857142857,1.3428571428571427,1.3428571428571427,0.0,0.7714285714285715,2010
7,MacPT,33,0,0.3939393939393939,0.30303030303030304,0.30303030303030304,1.2424242424242424,1.7272727272727273,0.48484848484848486,0.8484848484848485,2010
8,HapAc,33,0,0.36363636363636365,0.3333333333333333,0.30303030303030304,1.3636363636363635,1.4848484848484849,0.12121212121212122,0.8181818181818182,2010
9,HapBS,33,0,0.3333333333333333,0.2727272727272727,0.3939393939393939,1.303030303030303,1.2424242424242424,-0.06060606060606061,0.696969696969697,2010
10,HapHa,33,0,0.36363636363636365,0.24242424242424243,0.3939393939393939,1.303030303030303,1.2121212121212122,-0.09090909090909091,0.6666666666666666,2010
11,BeiYe,35,0,0.34285714285714286,0.2571428571428571,0.4,1.0,1.0857142857142856,0.08571428571428572,0.7428571428571429,2010
12,MemAs,35,0,0.2857142857142857,0.3142857142857143,0.4,1.5714285714285714,1.2,-0.37142857142857144,0.7142857142857143,2010
13,BneSa,35,0,0.2571428571428571,0.22857142857142856,0.5142857142857142,1.2571428571428571,0.7142857142857143,-0.5428571428571428,0.6571428571428571,2010
14,HapPT,35,0,0.2857142857142857,0.22857142857142856,0.4857142857142857,1.6571428571428573,1.2,-0.45714285714285713,0.6285714285714286,2010
15,HapAs,35,0,0.2571428571428571,0.14285714285714285,0.6,1.8857142857142857,0.9428571428571428,-0.9428571428571428,0.5428571428571428,2010
16,HapRG,35,0,0.08571428571428572,0.2571428571428571,0.6571428571428571,1.8571428571428572,0.6857142857142857,-1.1714285714285715,0.34285714285714286,2010
1,HapKS,37,0,0.5675675675675675,0.2702702702702703,0.16216216216216217,0.7027027027027027,1.2972972972972974,0.5945945945945946,1.972972972972973,2011
2,HapTA,37,0,0.43243243243243246,0.3783783783783784,0.1891891891891892,0.9459459459459459,1.7027027027027026,0.7567567567567568,1.5945945945945945,2011
3,BneTA,37,0,0.43243243243243246,0.2972972972972973,0.2702702702702703,0.972972972972973,1.4324324324324325,0.4594594594594595,1.5945945945945945,2011
4,MacNa,37,0,0.4594594594594595,0.21621621621621623,0.32432432432432434,1.2972972972972974,1.4594594594594594,0.16216216216216217,1.5945945945945945,2011
5,MacHa,37,0,0.43243243243243246,0.2702702702702703,0.2972972972972973,1.1891891891891893,1.5135135135135136,0.32432432432432434,1.5675675675675675,2011
6,MacTA,37,0,0.43243243243243246,0.1891891891891892,0.3783783783783784,1.162162162162162,1.4864864864864864,0.32432432432432434,1.4864864864864864,2011
7,MemAs,37,0,0.3783783783783784,0.32432432432432434,0.2972972972972973,1.1891891891891893,1.1891891891891893,0.0,1.4594594594594594,2011
8,BneSa,37,0,0.40540540540540543,0.1891891891891892,0.40540540540540543,1.4324324324324325,1.6216216216216217,0.1891891891891892,1.3513513513513513,2011
9,BeiYe,37,0,0.40540540540540543,0.1891891891891892,0.40540540540540543,1.1891891891891893,0.8648648648648649,-0.32432432432432434,1.3513513513513513,2011
10,HapAc,37,0,0.35135135135135137,0.24324324324324326,0.40540540540540543,1.2162162162162162,1.3783783783783783,0.16216216216216217,1.2972972972972974,2011
11,HapRS,37,0,0.2972972972972973,0.35135135135135137,0.35135135135135137,1.2162162162162162,1.0,-0.21621621621621623,1.2432432432432432,2011
12,HapHa,37,0,0.2972972972972973,0.2972972972972973,0.40540540540540543,1.162162162162162,1.1081081081081081,-0.05405405405405406,1.1891891891891893,2011
13,HapBS,37,0,0.32432432432432434,0.1891891891891892,0.4864864864864865,1.6486486486486487,1.1081081081081081,-0.5405405405405406,1.162162162162162,2011
14,MacPT,37,0,0.2972972972972973,0.2702702702702703,0.43243243243243246,1.5405405405405406,1.054054054054054,-0.4864864864864865,1.0810810810810811,2011
15,HapRL,37,0,0.16216216216216217,0.24324324324324326,0.5945945945945946,1.8918918918918919,1.054054054054054,-0.8378378378378378,0.7297297297297297,2011
16,HapPT,37,0,0.21621621621621623,0.2972972972972973,0.4864864864864865,1.4864864864864864,0.972972972972973,-0.5135135135135135,0.7027027027027027,2011
1,MacTA,36,0,0.6944444444444444,0.1388888888888889,0.16666666666666666,0.8333333333333334,2.1666666666666665,1.3333333333333333,2.2222222222222223,2012
2,MacHa,36,0,0.5277777777777778,0.2777777777777778,0.19444444444444445,0.9166666666666666,1.7222222222222223,0.8055555555555556,1.8611111111111112,2012
3,HapTA,36,0,0.4722222222222222,0.19444444444444445,0.3333333333333333,1.25,1.3055555555555556,0.05555555555555555,1.6111111111111112,2012
4,BneTA,36,0,0.4444444444444444,0.19444444444444445,0.3611111111111111,1.1111111111111112,1.3888888888888888,0.2777777777777778,1.5277777777777777,2012
5,HapKS,36,0,0.3888888888888889,0.3055555555555556,0.3055555555555556,1.0555555555555556,1.25,0.19444444444444445,1.4722222222222223,2012
6,HapRS,36,0,0.3333333333333333,0.1111111111111111,0.5555555555555556,1.3888888888888888,0.8611111111111112,-0.5277777777777778,1.1111111111111112,2012
7,MemAs,33,0,0.36363636363636365,0.21212121212121213,0.42424242424242425,1.2121212121212122,1.1515151515151516,-0.06060606060606061,1.303030303030303,2012
8,HapBS,33,0,0.30303030303030304,0.3333333333333333,0.36363636363636365,1.1818181818181819,0.9696969696969697,-0.21212121212121213,1.2424242424242424,2012
9,HapHa,33,0,0.2727272727272727,0.36363636363636365,0.36363636363636365,1.3636363636363635,1.0909090909090908,-0.2727272727272727,1.1818181818181819,2012
10,BeiYe,33,0,0.2727272727272727,0.36363636363636365,0.36363636363636365,1.6363636363636365,1.3333333333333333,-0.30303030303030304,1.1818181818181819,2012
11,HapAc,33,0,0.24242424242424243,0.3939393939393939,0.36363636363636365,1.4545454545454546,1.1818181818181819,-0.2727272727272727,1.121212121212121,2012
12,BneSa,33,0,0.24242424242424243,0.3939393939393939,0.36363636363636365,1.4848484848484849,0.9393939393939394,-0.5454545454545454,1.121212121212121,2012
13,MacNa,33,0,0.24242424242424243,0.3333333333333333,0.42424242424242425,1.5151515151515151,1.1515151515151516,-0.36363636363636365,1.0606060606060606,2012
14,HapRG,33,0,0.21212121212121213,0.2727272727272727,0.5151515151515151,1.4242424242424243,1.121212121212121,-0.30303030303030304,0.9090909090909091,2012
1,MacTA,36,0,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.8333333333333334,2.111111111111111,1.2777777777777777,2.3333333333333335,2013
2,HapBS,36,0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.9166666666666666,1.5555555555555556,0.6388888888888888,1.8888888888888888,2013
3,HapKS,36,0,0.5,0.2777777777777778,0.2222222222222222,1.0555555555555556,1.6388888888888888,0.5833333333333334,1.7777777777777777,2013
4,HapTA,36,0,0.4444444444444444,0.2777777777777778,0.2777777777777778,1.3055555555555556,2.0,0.6944444444444444,1.6111111111111112,2013
5,MacHa,36,0,0.4166666666666667,0.2222222222222222,0.3611111111111111,1.2777777777777777,1.3611111111111112,0.08333333333333333,1.4722222222222223,2013
6,BneSa,36,0,0.3611111111111111,0.2222222222222222,0.4166666666666667,1.3055555555555556,1.0277777777777777,-0.2777777777777778,1.3055555555555556,2013
7,BeiYe,33,0,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.9696969696969697,0.9393939393939394,-0.030303030303030304,1.2727272727272727,2013
8,MemAs,33,0,0.30303030303030304,0.2727272727272727,0.42424242424242425,1.3636363636363635,1.0606060606060606,-0.30303030303030304,1.1818181818181819,2013
9,HapRa,33,0,0.2727272727272727,0.3333333333333333,0.3939393939393939,1.2121212121212122,0.9393939393939394,-0.2727272727272727,1.1515151515151516,2013
10,HapAc,33,0,0.24242424242424243,0.36363636363636365,0.3939393939393939,1.2727272727272727,0.9090909090909091,-0.36363636363636365,1.0909090909090908,2013
11,HapHa,33,0,0.2727272727272727,0.21212121212121213,0.5151515151515151,1.3636363636363635,0.9090909090909091,-0.45454545454545453,1.0303030303030303,2013
