SeasonRank,TeamName,Games,MisGames,Wins,Ties,Loses,Goals,OpGoals,GoalDif,Points,Year
1,MacHa,35,0,24,8,3,28,63,35,45,2010
2,HapTA,35,0,21,7,7,36,72,36,38,2010
3,MacTA,35,0,18,6,11,40,53,13,35,2010
4,BneTA,35,0,15,10,10,34,42,8,31,2010
5,HapKS,35,0,14,10,11,45,57,12,28,2010
6,MacNa,35,0,12,13,10,47,47,0,27,2010
7,MacPT,33,0,13,10,10,41,57,16,28,2010
8,HapAc,33,0,12,11,10,45,49,4,27,2010
9,HapBS,33,0,11,9,13,43,41,-2,23,2010
10,HapHa,33,0,12,8,13,43,40,-3,22,2010
11,BeiYe,35,0,12,9,14,35,38,3,26,2010
12,MemAs,35,0,10,11,14,55,42,-13,25,2010
13,BneSa,35,0,9,8,18,44,25,-19,23,2010
14,HapPT,35,0,10,8,17,58,42,-16,22,2010
15,HapAs,35,0,9,5,21,66,33,-33,19,2010
16,HapRG,35,0,3,9,23,65,24,-41,12,2010
1,HapKS,37,0,21,10,6,26,48,22,73,2011
2,HapTA,37,0,16,14,7,35,63,28,59,2011
3,BneTA,37,0,16,11,10,36,53,17,59,2011
4,MacNa,37,0,17,8,12,48,54,6,59,2011
5,MacHa,37,0,16,10,11,44,56,12,58,2011
6,MacTA,37,0,16,7,14,43,55,12,55,2011
7,MemAs,37,0,14,12,11,44,44,0,54,2011
8,BneSa,37,0,15,7,15,53,60,7,50,2011
9,BeiYe,37,0,15,7,15,44,32,-12,50,2011
10,HapAc,37,0,13,9,15,45,51,6,48,2011
11,HapRS,37,0,11,13,13,45,37,-8,46,2011
12,HapHa,37,0,11,11,15,43,41,-2,44,2011
13,HapBS,37,0,12,7,18,61,41,-20,43,2011
14,MacPT,37,0,11,10,16,57,39,-18,40,2011
15,HapRL,37,0,6,9,22,70,39,-31,27,2011
16,HapPT,37,0,8,11,18,55,36,-19,26,2011
1,MacTA,36,0,25,5,6,30,78,48,80,2012
2,MacHa,36,0,19,10,7,33,62,29,67,2012
3,HapTA,36,0,17,7,12,45,47,2,58,2012
4,BneTA,36,0,16,7,13,40,50,10,55,2012
5,HapKS,36,0,14,11,11,38,45,7,53,2012
6,HapRS,36,0,12,4,20,50,31,-19,40,2012
7,MemAs,33,0,12,7,14,40,38,-2,43,2012
8,HapBS,33,0,10,11,12,39,32,-7,41,2012
9,HapHa,33,0,9,12,12,45,36,-9,39,2012
10,BeiYe,33,0,9,12,12,54,44,-10,39,2012
11,HapAc,33,0,8,13,12,48,39,-9,37,2012
12,BneSa,33,0,8,13,12,49,31,-18,37,2012
13,MacNa,33,0,8,11,14,50,38,-12,35,2012
14,HapRG,33,0,7,9,17,47,37,-10,30,2012
1,MacTA,36,0,26,6,4,30,76,46,84,2013
2,HapBS,36,0,20,8,8,33,56,23,68,2013
3,PahKS,36,0,18,10,8,38,59,21,64,2013
4,HapTA,36,0,16,10,10,47,72,25,58,2013
5,MacHa,36,0,15,8,13,46,49,3,53,2013
6,BneSa,36,0,13,8,15,47,37,-10,47,2013
7,BeiYe,33,0,12,6,15,32,31,-1,42,2013
8,MemAs,33,0,10,9,14,45,35,-10,39,2013
9,HapRa,33,0,9,11,13,40,31,-9,38,2013
10,HapAc,33,0,8,12,13,42,30,-12,36,2013
11,HapHa,33,0,9,7,17,45,30,-15,34,2013
12,MacPT,33,0,8,9,16,57,39,-18,33,2013
13,HapRS,33,0,9,6,18,59,29,-30,33,2013
14,BneTA,33,0,7,10,16,45,32,-13,31,2013
