SeasonRank,TeamName,Games,MissingGames,Wins,Ties,Loses,Goals,OpponentGoals,GoalDif,Points
1,MacTA,36,0,26,6,4,30,76,46,84
2,HapBS,36,0,20,8,8,33,56,23,68
3,PahKS,36,0,18,10,8,38,59,21,64
4,HapTA,36,0,16,10,10,47,72,25,58
5,MacHa,36,0,15,8,13,46,49,3,53
6,BneSa,36,0,13,8,15,47,37,-10,47
7,BeiYe,33,0,12,6,15,32,31,-1,42
8,MemAs,33,0,10,9,14,45,35,-10,39
9,HapRa,33,0,9,11,13,40,31,-9,38
10,HapAc,33,0,8,12,13,42,30,-12,36
11,HapHa,33,0,9,7,17,45,30,-15,34
12,MacPT,33,0,8,9,16,57,39,-18,33
13,HapRS,33,0,9,6,18,59,29,-30,33
14,BneTA,33,0,7,10,16,45,32,-13,31
