"","TeamB","Bgmean","BgSD","Bgskew","Bogmean","BogSD","Bogskew","Bwins","Bties","Year"
"1","BeiYe","1.0625","1.28937969582276","0.767411985419414","0.8125","1.10867789130417","1.44361422782895","0.4375","0.3125","2008"
"2","BneSa","0.823529411764706","0.808957208204416","0.29297567248426","1.23529411764706","1.0914103126635","0.919650939377661","0.117647058823529","0.529411764705882","2008"
"3","BneTA","1.125","0.957427107756338","0.200288212108118","1.125","1.02469507659596","0.119809160741449","0.3125","0.1875","2008"
"4","HacRG","0.764705882352941","0.970142500145332","0.441379170562444","1.58823529411765","1.32565189291023","0.124240829807081","0.176470588235294","0.235294117647059","2008"
"5","HapAc","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"6","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"7","HapBS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"8","HapHa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"9","HapKS","0.823529411764706","0.88284300116492","0.828840437841093","1.41176470588235","0.939336436627724","0.0265224405636061","0.176470588235294","0.235294117647059","2008"
"10","HapPT","0.941176470588235","0.899346167730627","0.58929253218962","1.47058823529412","1.12459142907677","0.564996909234894","0.176470588235294","0.176470588235294","2008"
"11","HapRa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"12","HapRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"13","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"14","HapRS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"15","HapTA","1.1875","1.10867789130417","0.207459081139976","1","0.894427190999916","0.524078432226513","0.375","0.3125","2008"
"16","MacAN","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2008"
"17","MacHa","1.3125","1.30224165704117","0.641420779473614","0.625","0.718795288428261","0.59954146553671","0.5","0.3125","2008"
"18","MacNa","1.25","1.06458129484475","0.466214775532143","0.9375","0.997914491994847","0.490857631033555","0.4375","0.375","2008"
"19","MacPT","0.8125","0.75","0.274305555555556","1","0.894427190999916","0.524078432226513","0.1875","0.5625","2008"
"20","MacTA","1.23529411764706","1.14724734499071","0.269325537865368","1.05882352941176","1.02899151085505","0.540276588488165","0.411764705882353","0.235294117647059","2008"
"21","MemAs","1","0.935414346693485","0.431211415522567","1.52941176470588","1.00732610526728","-0.0752722275925284","0.117647058823529","0.294117647058824","2008"
"22","BeiYe","1.33333333333333","1.2833778958395","0.192737071564331","1.61111111111111","1.4608172124207","0.220676342256039","0.277777777777778","0.222222222222222","2009"
"23","BneSa","0.625","0.806225774829855","0.693222975769014","0.875","0.885061203156784","0.760630773140768","0.3125","0.1875","2009"
"24","BneTA","1.22222222222222","1.21536997782837","0.342314245806673","0.944444444444444","1.10996673093875","1.07632222484554","0.388888888888889","0.333333333333333","2009"
"25","HacRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"26","HapAc","1.16666666666667","1.20049009599756","0.856289231939273","1.61111111111111","1.28972814686292","1.16659955276441","0.222222222222222","0.277777777777778","2009"
"27","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
"28","HapBS","1.375","1.1474609652039","0.535200633455893","1.9375","1.38894444333338","0.803079378547209","0.125","0.5","2009"
"29","HapHa","1.29411764705882","1.159994928995","0.134575084479472","1.47058823529412","0.943242218283799","-0.130971651180561","0.294117647058824","0.235294117647059","2009"
"30","HapKS","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2009"
